収録カードナンバー,レアリティ,日本語名,フリガナ,ルビ,種類,所属軍,属性1,属性2,属性3,属性4,Lv,ATK,HP,STK,左上アイコン,左下アイコン,テキスト,CNT,フレーバーテキスト,投入最大数
2021GB02-001,★★★★Ⓛ,ドラゴニック・アーマゲドン,ドラゴニック・アーマゲドン,,イベント,ウォルナー,ドラゴン,炎,,,2,,,,CNT,LEGEND,使用タイミング：通常 ■場の相手のカード１枚を選び、破壊する。その後、場に君のレベル２以上のドラゴンがあるなら、場の相手のカードを1枚破壊する。,場の相手のレベル２以下のカード１枚を選び、破壊する。,かつて、地上と天空の支配者が竜だった頃……。 戦火によって世界は一度滅亡し、竜たちも ほとんどが死に絶えたという。 それがどのような戦いであったのか、 何者との戦いであったのか。伝承は時の 彼方に葬られ、絶えて久しい。,1
2021GB02-002,★★★★,ファイナル エンド ラスト ドラゴン the フィナーレ,ファイナル エンド ラスト ドラゴン ザ フィナーレ,,ユニット,ウォルナー,ドラゴンロード,トレイター,闇,,3,6,5,2,CNT,,【アビスシンフォニア】条件：君の墓地から闇のカードを合計５枚デッキの下に置く。  ■これが【深淵召喚】された時、これをターン終了時までSTK＋１する。 ■「吸命【ターン１】」 通常：［君の手札からトレイターかドラゴンを１枚捨てる］敵ユニット１体を選び、破壊する。,手札の闇のカードを１枚捨てる。そうしたら１枚引く。,戦場にそれが現れたなら、もはや敵も味方も無い。 命名・設定 オーファイブ,4
2021GB02-003,★★★★,轟撃の魔王 ストライダム,ごうげきのまおう ストライダム,,ユニット,ウォルナー,大地,ビースト,魔王,,3,6,7,3,,,【強化】ビースト（これを場に出す際、君のビーストのユニット1体を選び、これのソウルに入れてもよい。） ■「マインド・ディストーメント」 即時：［これのソウルを１枚墓地に置く］相手の【CNT】によりプレイされたカードか能力を１つ選び、「これを墓地に置く」 にする。,,力。知恵。創意。己が才覚のみで生きる。野獣と同じ。 それこそが生きるという事。 ,4
2021GB02-004,★★★★,金鱗の聖剣士,きんりんのせいけんし,,ユニット,ウォルナー,戦士,ドラゴン,,,2,3,3,2,,,■「金鱗の加護」 これは相手のイベントや能力で選ばれない。 ■「無限戦技【エナジー能力】」 これが攻撃した時、君の墓地から戦技のイベント１枚を選び、エナジーを支払ってプレイしてもよい。そうしたらそのイベントを墓地に置く代わりにデッキの下に置く。（レベル０にエナジーは不要。）,,軍神の加護は、ふさわしき魂の持ち主に与えられる。,4
2021GB02-005,★★★★,引きこもり魔王 メリル・シュトラウス,ひきこもりまおう メリル・シュトラウス,,ユニット,ウォルナー,ダンジョン,魔王,,,1,0,1,0,,,■「ダンジョン引きこもり」 これが攻撃ゾーンにある時、これは攻撃されず、ユニットの能力で選ばれない。 ■「イデア・デザイア【ターン１】」 通常：［これをレストする］エナジー１枚を選び、アクトする。 ■君の召喚権を３にする。（君のターンに１回通常召喚をしているなら、あと２回通常召喚できる。),,メリル「喜んで協力させてもらうよ。 もちろん軍事機密だとか、野暮な事は言わないね？」 もう何度軍規に背いた事か。山田は出世をあきらめた。 ,4
2021GB02-006,★★★,ダークマザー,ダークマザー,,ユニット,ウォルナー,トレイター,魔術師,闇,,2,3,5,2,,,■通常：［君の手札から【深淵召喚】を持つ魔術師を１枚捨てる］【深淵召喚】を行う。（【深淵召喚】とは、君の墓地から【アビスシンフォニア】を持つユニットを１体、その条件を満たすことで特殊召喚してもよいこと。）,,さあお前たち。一つでも多くの命を殺めるのです。 ,4
2021GB02-007,★★★,従軍魔術師 アルケッタ,じゅうぐんまじゅつし アルケッタ,,ユニット,ウォルナー,魔術師,,,,2,1,4,0,CNT,,【創生召喚】通常：これと、味方の、戦士か魔術師のユニット１体以上を素材にしてデッキの下に置く。そうしたら素材にしたユニットの合計レベル以下の戦士かドラゴンを１体デッキから特殊召喚し、１枚引き、このターン中、君の召喚権を３にする。 ■場の君のレベル０の戦士は全てレベル１として扱ってもよい。,これを墓地に置く。,シオリ姉様ったら、どこで迷子になってるのかしら。,4
2021GB02-008,★★★,龍血姫 キメララ,りゅうけつひ キメララ,,ユニット,ウォルナー,戦士,ダンジョン,,,1,4,2,2,TD,,【TD】「伝承された記憶【エナジー能力】」 君の墓地から戦技のイベントを１枚まで選び、エナジーを支払ってプレイしてもよい。そうしたらそのイベントを墓地に置く代わりにデッキの下に置く。（レベル０にエナジーは不要。）（【エナジー能力】は、君にエナジーがあるなら使える。）,,様々な戦闘種族の血を重ね合わされたハイブリッド魔族にして、メリルのダンジョン中層司令官。落ち着いた性格でダンジョンの住民たちの相談役。実は16歳なのだが。 命名 繭野間 巣立,4
2021GB02-009,★★★,バラム・レム・レクス（我が魂すでに闇と共にあり）,バラム・レム・レクス,,イベント,ウォルナー,魔法,,,,2,,,,CNT,,使用タイミング：通常 ■【深淵召喚】を行う。（【深淵召喚】とは、君の墓地から【アビスシンフォニア】を持つユニットを１体、その条件を満たすことで特殊召喚してもよいこと。）,これをプレイする。,そのまま地に伏していれば、 死して魂も救われように。 あの地球人共はポルヴィス様の 供物となる道を選んだようですね！,4
2021GB02-010,★★,獅子王 ルーヴァ,ししおう ルーヴァ,,ユニット,ウォルナー,大地,ビースト,,,3,3,5,3,,,■「王の一喝」 これが場に出た時、相手のエナジー１枚を選び、レストする。 ■これが【創生召喚】された時、守備ゾーンの敵ユニット１体を選び、破壊する。,,ウェスカロットの南方は獣王圏と呼ばれ、人智を超える力を持った獣たちが支配する野生の世界である。,4
