収録カードナンバー,レアリティ,日本語名,フリガナ,ルビ,種類,所属軍,属性1,属性2,属性3,属性4,Lv,ATK,HP,STK,左上アイコン,左下アイコン,テキスト,CNT,フレーバーテキスト,
GB01-001,★★★★Ⓛ,五大竜王 炎血皇マグヴァリウス,,,ユニット,ウォルナー,ドラゴン,ドラゴンロード,炎,,3,7,7,3,,,,,"ヤツの肉体と心は、常に灼熱で満たされている。
カード名設定 原田峻多",
GB01-002,★★★★Ⓛ,ブラスター・ヴォルテックス,,,イベント,ウォルナー,禁呪,,,,2,,,,,,,,数々の「禁呪」や「精霊エンジン」の遺物が物語るように、かつてのウォルナーに強力な文明が存在していた事は確かだ。彼らは滅んだのか、あるいは「どこかへ行った」のか？,
GB01-003,★★★★,鉑竜王 アルバフォルト,,,ユニット,ウォルナー,ドラゴン,ドラゴンロード,,,3,7,6,2,,,,,ドラゴンロードは、自らの肉体を中心とした「別の世界の理」を持つ。,
GB01-004,★★★★,魔竜 ヴィオラ・フルヴトゥス,,,ユニット,ウォルナー,ドラゴン,ドラゴンロード,闇,,3,7,6,3,,,,,怒り狂う。そう。狂っているのだ。,
GB01-005,★★★★,深淵奏師 アリギエリ,,,ユニット,ウォルナー,魔術師,闇,,,2,3,2,1,,,,,深淵を覗け。そこには生の神秘の裏側がある。,
GB01-006,★★★★,帝国魔術師 シオリ・ローディア,,,ユニット,ウォルナー,魔術師,,,,2,3,3,2,,,,,近代兵器の実用試験のため、帝国は技術試験部隊を受け入れた。,
GB01-007,★★★,天空王 アーラ,,,ユニット,ウォルナー,風,戦士,,,2,4,4,2,,,,,我が前で、力無き者の涙は流させない。,
GB01-008,★★★,黒影魔竜 シャドゥレイカー,,,ユニット,ウォルナー,ドラゴン,闇,,,2,4,5,1,,,,,魔竜。世界の理を破壊せんとたくらむ、邪悪なドラゴンロード。,
GB01-009,★★★,金輪の縁結び パウラ,,,ユニット,ウォルナー,魔術師,,,,1,2,1,1,,,,,繋ぐよ。皆の想い！,
GB01-010,★★★,爆豪術士 ヴォルフ,,,ユニット,ウォルナー,炎,魔術師,,,1,2,1,2,,,,,"この魔法とて本来、害獣をひるませる程度のものだった。魔法は本来、その程度のもので良かったのだ……。

",
GB01-011,★★,赤竜 クリムゾン・シィルティス,,,ユニット,ウォルナー,ドラゴン,炎,,,2,4,5,2,,,,,"ドラゴン。事実上無限の寿命を持ち、力も、魔力も、そして時には知恵すらも人を上回る生物界の頂点。
しかし「団結」を知らない彼らは、決して世界の主役になれないのだ。",
GB01-012,★★,星詠み,,,イベント,ウォルナー,魔法,,,,2,,,,,,,,"帝国首都への表敬訪問を予定していた東妖軍派遣部隊は、魔竜ポルヴィス・モウス・レクスの奸計により、彼の支配地域へと転移させられた。電子機器を中心にほとんどの兵器が作動しない中、彼らは無事に脱出出来るのだろうか？
",
GB01-013,★★,殺戮者の森,,,フィールド,ウォルナー,魔法,,,,2,,,,,,,,正義も悪も、聖も邪も無い。そこにあるのは絶対的な、命の掟。,
GB01-014,★★,ウェスカロット帝国正規兵,,,ユニット,ウォルナー,戦士,,,,0,2,2,1,,,,,ウォルナー最大の版図を持つウェスカロット帝国は、各種族の長所を効率的に生かして外敵に立ち向かう、団結と協調の成功例である。,
